Rank,Player,Team,Salary,Score,Value
311,Sam Draper,Bombers,"$651,000",44,6.8
311,Michael Frederick,Dockers,"$424,000",44,10.4
311,Rory Lobb,Bulldogs,"$605,000",44,7.3
311,Daniel Butler,Saints,"$430,000",44,10.2
317,Marlion Pickett,Tigers,"$453,000",43,9.5
317,Darcy Tucker,Kangaroos,"$578,000",43,7.4
317,Patrick Voss,Dockers,"$320,000",43,13.4
317,Josh Draper,Dockers,"$373,000",43,11.5
317,Eric Hipwood,Lions,"$516,000",43,8.3
317,Aidan Corr,Kangaroos,"$448,000",43,9.6
317,Kamdyn McIntosh,Tigers,"$399,000",43,10.8
317,Harrison Petty,Demons,"$524,000",43,8.2
317,Jed McEntee,Power,"$326,000",43,13.2
326,Jade Gresham,Bombers,"$424,000",42,9.9
326,Paul Curtis,Kangaroos,"$537,000",42,7.8
326,Dane Rampe,Swans,"$390,000",42,10.8
329,Brandon Zerk-Thatcher,Power,"$437,000",41,9.4
329,Callum Ah Chee,Lions,"$549,000",41,7.5
329,James O'Donnell,Bulldogs,"$399,000",41,10.3
329,Toby Pink,Kangaroos,"$273,000",41,15
333,Liam Stocker,Saints,"$470,000",40,8.5
333,Charlie Dean,Magpies,"$386,000",40,10.4
333,Bradley Close,Cats,"$433,000",40,9.2
333,Lachlan Cowan,Blues,"$495,000",40,8.1
333,Rhyan Mansell,Tigers,"$472,000",40,8.5
333,Ben Miller,Tigers,"$434,000",40,9.2
333,Lachlan Bramble,Bulldogs,"$587,000",40,6.8
340,Kallan Dawson,Kangaroos,"$328,000",39,11.9
340,Jake Stringer,Bombers,"$565,000",39,6.9
340,Hugh Bond,Crows,"$290,000",39,13.4
343,Francis Evans,Power,"$394,000",38,9.6
343,Taylor Walker,Crows,"$472,000",38,8.1
343,Robert Hansen,Kangaroos,"$254,000",38,15
343,Orazio Fantasia,Blues,"$344,000",38,11
343,Arthur Jones,Bulldogs,"$305,000",38,12.5
343,Sam Banks,Tigers,"$454,000",38,8.4
343,Mason Cox,Magpies,"$420,000",38,9
343,Jack Lukosius,Suns,"$469,000",38,8.1
343,Taj Woewodin,Demons,"$275,000",38,13.8
352,Finlay Macrae,Magpies,"$363,000",37,10.2
353,Chayce Jones,Crows,"$546,000",36,6.6
353,Dougal Howard,Saints,"$446,000",36,8.1
353,Brodie Kemp,Blues,"$581,000",36,6.2
353,Aaron Cadman,Giants,"$382,000",36,9.4
357,Luke Breust,Hawks,"$362,000",35,9.7
357,Beau McCreery,Magpies,"$442,000",35,7.9
357,Marty Hore,Demons,"$415,000",35,8.4
357,Samuel Collins,Suns,"$414,000",35,8.5
357,Bailey Humphrey,Suns,"$400,000",35,8.8
362,Tom Powell,Kangaroos,"$716,000",34,4.7
362,Harvey Johnston,Eagles,"$238,000",34,14.3
364,Esava Ratugolea,Power,"$411,000",33,8
364,Dante Visentini,Power,"$366,000",33,9
364,Harry Edwards,Eagles,"$342,000",33,9.6
367,Lachlan Weller,Suns,"$625,000",32,5.1
367,Bailey Laurie,Demons,"$281,000",32,11.4
367,Oscar Allen,Eagles,"$501,000",32,6.4
370,Lachlan McNeil,Bulldogs,"$448,000",31,6.9
370,Callum Wilkie,Saints,"$733,000",31,4.2
370,Jed Bews,Cats,"$400,000",31,7.8
370,Hugo Garcia,Saints,"$336,000",31,9.2
370,Lawson Humphries,Cats,"$565,000",31,5.5
375,Jake Bowey,Demons,"$572,000",30,5.2
376,Calsher Dear,Hawks,"$386,000",29,7.5
376,Reuben Ginbey,Eagles,"$495,000",29,5.9
376,Bayley Fritsch,Demons,"$424,000",29,6.8
376,Corey Durdin,Blues,"$243,000",29,11.9
376,Nick Larkey,Kangaroos,"$484,000",29,6
376,Xavier O'Halloran,Giants,"$371,000",29,7.8
382,Liam Duggan,Eagles,"$677,000",28,4.1
382,Ben McKay,Bombers,"$516,000",28,5.4
382,Jacob Koschitzke,Tigers,"$412,000",28,6.8
382,Ashton Moir,Blues,"$221,000",28,12.7
382,Nick Murray,Crows,"$387,000",28,7.2
387,Ben Hobbs,Bombers,"$361,000",27,7.5
388,Jake Rogers,Suns,"$299,000",26,8.7
388,Thomas Stewart,Cats,"$806,000",26,3.2
388,Sam Frost,Hawks,"$291,000",26,8.9
388,Blake Howes,Demons,"$414,000",26,6.3
388,Rhett Bazzo,Eagles,"$268,000",26,9.7
388,Blake Drury,Kangaroos,"$344,000",26,7.6
394,Ben King,Suns,"$479,000",25,5.2
395,Judd McVee,Demons,"$522,000",24,4.6
396,Darragh Joyce,Lions,"$386,000",22,5.7
396,Darcy Jones,Giants,"$502,000",22,4.4
396,Matt Johnson,Dockers,"$536,000",22,4.1
396,Jesse Motlop,Blues,"$348,000",22,6.3
400,James Borlase,Crows,"$410,000",21,5.1
400,Brady Hough,Eagles,"$531,000",21,4
402,Jye Amiss,Dockers,"$459,000",20,4.4
403,Darcy Moore,Magpies,"$371,000",19,5.1
404,Harvey Thomas,Giants,"$369,000",18,4.9
404,Jacob Van Rooyen,Demons,"$493,000",18,3.7
406,Michael Walters,Dockers,"$332,000",16,4.8
406,Harry Sharp,Lions,"$396,000",16,4
406,Callum Brown,Giants,"$320,000",16,5
406,Liam Jones,Bulldogs,"$403,000",16,4
410,Laitham Vandermeer,Bulldogs,"$338,000",14,4.1
411,Matt Guelfi,Bombers,"$465,000",11,2.4
412,Brynn Teakle,Kangaroos,"$325,000",10,3.1
413,Robbie Fox,Swans,"$429,000",8,1.9
414,Jackson Archer,Kangaroos,"$455,000",4,0.9
